clip,frame,selected,rank,learned_score,threshold,human_label,x,y,w,h,verified_score,source
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,450,1,,1.0,0,vision_assisted,75.5,98.0,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,451,1,,1.0,0,vision_assisted,75.54,97.97,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,452,1,,1.0,0,vision_assisted,76.08,97.93,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,453,1,,1.0,0,vision_assisted,76.13,97.9,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,454,1,,1.0,0,vision_assisted,76.67,98.36,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,455,1,,1.0,0,vision_assisted,77.21,98.33,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,456,1,,1.0,0,vision_assisted,77.25,98.29,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,457,1,,1.0,0,vision_assisted,77.79,98.76,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,458,1,,1.0,0,vision_assisted,77.84,98.72,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,459,1,,1.0,0,vision_assisted,78.38,99.19,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,460,1,,1.0,0,vision_assisted,78.92,99.15,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,461,1,,1.0,0,vision_assisted,78.96,99.12,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,462,1,,1.0,0,vision_assisted,79.5,99.58,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,463,1,,1.0,0,vision_assisted,79.55,99.55,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,464,1,,1.0,0,vision_assisted,80.09,100.01,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,465,1,,1.0,0,vision_assisted,80.63,100.48,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,466,1,,1.0,0,vision_assisted,80.67,100.44,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,467,1,,1.0,0,vision_assisted,81.21,100.41,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,468,1,,1.0,0,vision_assisted,81.26,100.37,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,469,1,,1.0,0,vision_assisted,81.8,100.84,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,470,1,,1.0,0,vision_assisted,82.84,101.3,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,471,1,,1.0,0,vision_assisted,82.88,101.27,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,472,1,,1.0,0,vision_assisted,83.42,101.73,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,473,1,,1.0,0,vision_assisted,83.47,101.7,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,474,1,,1.0,0,vision_assisted,84.01,102.16,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,475,1,,1.0,0,vision_assisted,84.55,102.63,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,476,1,,1.0,0,vision_assisted,84.59,102.59,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,477,1,,1.0,0,vision_assisted,85.63,103.06,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,478,1,,1.0,0,vision_assisted,85.67,103.02,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,479,1,,1.0,0,vision_assisted,86.22,103.49,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,480,1,,1.0,0,vision_assisted,87.26,103.95,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,481,1,,1.0,0,vision_assisted,87.3,103.92,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,482,1,,1.0,0,vision_assisted,87.84,104.38,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,483,1,,1.0,0,vision_assisted,87.88,104.35,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,484,1,,1.0,0,vision_assisted,73.93,107.31,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,485,1,,1.0,0,vision_assisted,73.97,107.28,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,486,1,,1.0,0,vision_assisted,74.01,107.24,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,487,1,,1.0,0,vision_assisted,74.05,107.21,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,488,1,,1.0,0,vision_assisted,74.09,107.17,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,489,1,,1.0,0,vision_assisted,74.14,107.14,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,490,1,,1.0,0,vision_assisted,74.18,107.1,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,491,1,,1.0,0,vision_assisted,74.22,107.07,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,492,1,,1.0,0,vision_assisted,74.26,107.03,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,493,1,,1.0,0,vision_assisted,74.3,107.0,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,494,1,,1.0,0,vision_assisted,74.35,106.46,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,495,1,,1.0,0,vision_assisted,74.39,106.43,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,496,1,,1.0,0,vision_assisted,74.43,106.39,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,497,1,,1.0,0,vision_assisted,74.47,106.36,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,498,1,,1.0,0,vision_assisted,74.51,106.32,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,499,1,,1.0,0,vision_assisted,74.56,105.79,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,500,1,,1.0,0,vision_assisted,74.6,105.75,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,501,1,,1.0,0,vision_assisted,74.64,105.22,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,502,1,,1.0,0,vision_assisted,74.68,105.18,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,503,1,,1.0,0,vision_assisted,74.72,105.15,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,504,1,,1.0,0,vision_assisted,74.27,104.61,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,505,1,,1.0,0,vision_assisted,74.31,104.58,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,506,1,,1.0,0,vision_assisted,74.35,104.04,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,507,1,,1.0,0,vision_assisted,74.39,103.51,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,508,1,,1.0,0,vision_assisted,74.43,103.47,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,509,1,,1.0,0,vision_assisted,74.48,102.94,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,510,1,,1.0,0,vision_assisted,74.52,102.9,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,511,1,,1.0,0,vision_assisted,74.06,102.37,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,512,1,,1.0,0,vision_assisted,74.1,101.83,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,513,1,,1.0,0,vision_assisted,74.14,101.8,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,514,1,,1.0,0,vision_assisted,74.19,101.26,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,515,1,,1.0,0,vision_assisted,74.23,101.23,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,516,1,,1.0,0,vision_assisted,73.77,100.69,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,517,1,,1.0,0,vision_assisted,73.81,99.66,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,518,1,,1.0,0,vision_assisted,73.85,99.62,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,519,1,,1.0,0,vision_assisted,73.9,99.09,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,520,1,,1.0,0,vision_assisted,73.94,99.05,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,521,1,,1.0,0,vision_assisted,73.48,98.52,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,522,1,,1.0,0,vision_assisted,73.52,97.98,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,523,1,,1.0,0,vision_assisted,73.56,97.95,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,524,1,,1.0,0,vision_assisted,73.1,97.41,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,525,1,,1.0,0,vision_assisted,73.15,97.38,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,526,1,,1.0,0,vision_assisted,73.19,96.84,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,527,1,,1.0,0,vision_assisted,73.23,96.31,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,528,1,,1.0,0,vision_assisted,73.27,96.27,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,529,1,,1.0,0,vision_assisted,72.81,95.24,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,530,1,,1.0,0,vision_assisted,72.86,95.2,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,531,1,,1.0,0,vision_assisted,72.9,94.67,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,532,1,,1.0,0,vision_assisted,72.44,94.13,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,533,1,,1.0,0,vision_assisted,72.48,94.1,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,534,1,,1.0,0,vision_assisted,72.52,93.56,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,535,1,,1.0,0,vision_assisted,72.57,93.53,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,536,1,,1.0,0,vision_assisted,72.11,92.99,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,537,1,,1.0,0,vision_assisted,72.15,92.46,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,538,1,,1.0,0,vision_assisted,72.19,92.42,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,539,1,,1.0,0,vision_assisted,72.23,91.89,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,540,1,,1.0,0,vision_assisted,72.28,91.85,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,541,1,,1.0,0,vision_assisted,71.82,91.32,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,542,1,,1.0,0,vision_assisted,71.86,90.78,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,543,1,,1.0,0,vision_assisted,71.9,90.75,21.0,21.0,,vision_assisted_pre594_video_v1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,544,1,,1.0,0,vision_assisted,71.94,90.21,21.0,21.0,,vision_assisted_pre594_video_v1
